steps,training_time
6420,338.66617
116,6.808539
222,12.96542
4391,234.42657
138,5.990143
4662,245.55023
168,8.518339
6819,379.48132
4499,220.735
3479,180.36186
5328,281.81656
4337,231.91252
82,4.2396393
237,13.183754
115,6.254979
206,11.5645485
5655,311.69403
159,9.281543
5955,315.7061
6387,382.9004
103,5.089094
261,14.875766
151,8.033309
80,4.2984533
5607,305.14066
7786,452.85983
93,4.9302683
6663,385.10538
3518,169.65082
4760,251.7942
8045,439.61746
6481,348.39465
184,10.724845
5596,297.4132
4949,261.1816
98,4.900448
3711,195.27371
220,12.38709
2782,148.45024
154,7.8850994
2998,153.58058
159,8.678112
5110,277.09692
3834,196.21756
109,5.679828
5169,268.2454
119,5.894677
149,7.98033
7348,375.19824
5818,315.40536
6742,375.24902
195,11.190662
5970,303.65567
218,11.920558
118,5.293376
3446,191.14305
146,7.143117
4092,221.10072
148,8.0132885
6196,384.00952
178,9.781607
6830,343.2153
125,6.757389
2887,153.73991
3764,186.33047
141,7.641656
126,6.810473
267,15.543283
148,8.085747
278,14.716742
4473,241.67165
101,5.1938953
127,6.784937
4339,225.48598
5888,300.63376
3323,170.72789
186,10.7293
3805,195.66153
213,11.073626
176,10.277952
4538,236.98811
8323,443.71707
162,9.06776
219,11.310342
4830,262.57034
154,8.053099
3873,209.40567
4633,235.72075
219,12.636425
4389,230.2388
106,5.836937
160,9.461668
212,10.811775
3147,151.93968
4092,221.59679
6844,382.38422
4148,217.61275
5334,290.7781
126,6.646655
4326,224.1464
123,6.517795
159,8.849388
151,8.053848
130,7.01431
4425,235.01454
5736,287.17368
3989,214.04094
3487,176.55766
121,5.7025785
125,6.279464
5916,320.58005
120,6.319075
150,8.032708
4200,232.51973
83,4.3982773
3423,179.24832
5687,309.64114
161,8.0790825
5230,282.6609
8150,475.92584
4551,244.45485
134,7.421465
156,8.120491
3568,182.23997
120,6.100801
4445,231.81393
3897,226.16673
5442,290.75906
117,6.593163
4228,223.25456
4913,265.54156
129,6.067481
114,5.692919
158,9.313844
6609,361.7806
4953,278.77792
107,5.414105
7614,388.4647
173,9.066182
3144,159.5502
147,8.162381
186,9.627914
5274,275.5916
5005,257.99265
7030,2146.0957
5822,1639.7435
330,94.40381
3755,206.37672
180,44.476784
187,57.041004
10425,17712.74
9098,15318.304
208,58.071354
254,75.02915
3313,186.87624
7516,2372.3118
250,76.573265
8114,2527.6387
10668,18071.56
9400,15890.872
7215,2058.4707
172,9.6919155
185,10.0624695
9144,2698.4463
115,6.427007
8542,2548.6375
7438,2130.3862
195,10.358795
9740,15975.795
247,388.02148
210,53.207947
6870,2075.0874
217,64.82511
238,73.89765
301,467.5145
8649,14170.219
220,60.739082
235,68.574356
6679,2002.9833
229,61.237915
240,386.56186
6464,379.99426
138,7.838408
254,394.3746
6230,1621.7919
4277,244.30255
9496,2901.673
4897,292.22964
149,8.765429
288,465.90176
5485,324.08313
287,466.37238
778,72.60686
1253,85.04905
499,51.25769
4134,329.6376
627,42.753
855,61.219765
1132,77.07987
5360,430.74503
444,44.474182
2671,180.40453
939,93.88625
819,54.545807
189,17.968603
892,82.70114
1645,111.53408
811,78.08299
180,15.151395
583,38.16662
1493,162.45564
2643,145.86159
3857,321.30984
2642,261.03568
2605,275.41138
3026,237.52603
3014,177.728
1868,154.28441
2298,196.12036
431,30.791044
2015,212.89404
1837,201.90848
344,23.69638
1688,131.26366
4222,343.52603
1512,101.859505
840,57.53257
165,14.64988
1371,137.71613
774,74.10272
979,93.28428
1322,144.29622
133,12.994105
961,65.17091
1036,70.59251
3439,254.8559
4245,342.76004
1224,93.95359
643,72.72659
1256,124.490524
859,91.210625
623,40.682453
4418,348.25024
2473,168.07228
1854,185.34856
1574,125.055824
383,25.311224
2740,220.49304
442,31.641047
2011,169.50516
1772,186.81657
2362,236.41655
4631,270.62524
3472,302.03268
1745,137.54997
3628,285.31448
3784,204.80188
2598,266.7681
838,68.294815
672,38.0775
2575,259.62134
227,17.261202
310,17.756311
165,14.005427
