update_rule,K,N,L,attack,training_time,adversary_score
random_walk,4.0,4.0,4.0,none,8.368201,80.46875
hebbian,4.0,4.0,24.0,none,192.18808,81.770836
hebbian,4.0,4.0,4.0,none,11.271144,77.34375
anti_hebbian,4.0,4.0,24.0,none,324.31616,79.296875
random_walk,4.0,4.0,4.0,none,10.959438,78.90625
hebbian,4.0,4.0,24.0,none,233.36,75.65104
hebbian,4.0,4.0,4.0,none,7.6422396,75.78125
hebbian,4.0,4.0,4.0,none,10.098312,82.03125
hebbian,4.0,4.0,24.0,none,179.79317,75.260414
anti_hebbian,4.0,4.0,4.0,none,4.906064,82.03125
anti_hebbian,4.0,4.0,4.0,none,8.517959,74.21875
hebbian,4.0,4.0,4.0,none,9.169107,72.65625
anti_hebbian,4.0,4.0,24.0,none,282.157,85.15625
random_walk,4.0,4.0,4.0,none,5.768152,68.75
hebbian,4.0,4.0,24.0,none,309.31952,76.69271
random_walk,4.0,4.0,4.0,none,11.361953,78.90625
hebbian,4.0,4.0,24.0,none,316.76266,82.68229
random_walk,4.0,4.0,4.0,none,14.473164,75.78125
anti_hebbian,4.0,4.0,24.0,none,269.01913,76.171875
hebbian,4.0,4.0,4.0,none,9.903334,72.65625
hebbian,4.0,4.0,24.0,none,259.339,70.052086
anti_hebbian,4.0,4.0,4.0,none,8.755865,77.34375
anti_hebbian,4.0,4.0,4.0,none,9.231186,79.6875
hebbian,4.0,4.0,24.0,none,265.50854,77.083336
hebbian,4.0,4.0,4.0,none,6.277219,85.9375
hebbian,4.0,4.0,24.0,none,254.9094,89.97396
anti_hebbian,4.0,4.0,4.0,none,9.0326,84.375
hebbian,4.0,4.0,24.0,none,259.50525,77.734375
anti_hebbian,4.0,4.0,4.0,none,9.757268,86.71875
random_walk,4.0,4.0,4.0,none,5.920351,75.78125
hebbian,4.0,4.0,4.0,none,6.294648,72.65625
random_walk,4.0,4.0,4.0,none,10.311262,79.6875
anti_hebbian,4.0,4.0,24.0,none,337.6757,86.06771
hebbian,4.0,4.0,24.0,none,148.55473,82.421875
anti_hebbian,4.0,4.0,24.0,none,336.82407,92.447914
anti_hebbian,4.0,4.0,24.0,none,252.38239,79.6875
random_walk,4.0,4.0,4.0,none,14.8672085,71.09375
hebbian,4.0,4.0,4.0,none,7.881382,75.78125
anti_hebbian,4.0,4.0,4.0,none,7.99651,71.875
random_walk,4.0,4.0,4.0,none,6.584918,84.375
hebbian,4.0,4.0,24.0,none,208.13176,93.489586
anti_hebbian,4.0,4.0,4.0,none,9.321198,74.21875
random_walk,4.0,4.0,4.0,none,12.674756,75.78125
hebbian,4.0,4.0,4.0,none,6.0785723,89.84375
anti_hebbian,4.0,4.0,24.0,none,248.13864,84.114586
random_walk,4.0,4.0,4.0,none,7.632112,83.59375
anti_hebbian,4.0,4.0,4.0,none,9.230577,74.21875
anti_hebbian,4.0,4.0,24.0,none,280.36588,84.24479
anti_hebbian,4.0,4.0,4.0,none,13.125214,74.21875
hebbian,4.0,4.0,24.0,none,166.66095,76.953125
anti_hebbian,4.0,4.0,24.0,none,158.91716,86.84896
anti_hebbian,4.0,4.0,4.0,none,7.319495,76.5625
anti_hebbian,4.0,4.0,24.0,none,329.2428,85.28646
random_walk,4.0,4.0,4.0,none,4.789587,85.9375
anti_hebbian,4.0,4.0,4.0,none,8.704603,75.0
anti_hebbian,4.0,4.0,24.0,none,484.67896,76.5625
hebbian,4.0,4.0,4.0,none,8.300967,74.21875
anti_hebbian,4.0,4.0,4.0,none,6.4974537,74.21875
anti_hebbian,4.0,4.0,4.0,none,6.964798,82.8125
anti_hebbian,4.0,4.0,24.0,none,209.69412,77.604164
random_walk,4.0,4.0,4.0,none,11.42364,71.875
hebbian,4.0,4.0,24.0,none,250.2959,72.135414
hebbian,4.0,4.0,4.0,none,9.06025,83.59375
hebbian,4.0,4.0,24.0,none,633.1464,80.859375
hebbian,4.0,4.0,4.0,none,5.12411,80.46875
hebbian,4.0,4.0,24.0,none,363.17783,70.703125
hebbian,4.0,4.0,4.0,none,6.4846096,83.59375
random_walk,4.0,4.0,4.0,none,10.381649,74.21875
anti_hebbian,4.0,4.0,24.0,none,240.38295,77.864586
anti_hebbian,4.0,4.0,4.0,none,9.353281,82.8125
anti_hebbian,4.0,4.0,4.0,none,7.48322,95.3125
random_walk,4.0,4.0,4.0,none,11.935617,84.375
hebbian,4.0,4.0,24.0,none,391.58685,83.072914
hebbian,4.0,4.0,24.0,none,311.87158,87.760414
random_walk,4.0,4.0,4.0,none,6.163824,78.90625
anti_hebbian,4.0,4.0,24.0,none,275.15698,90.364586
hebbian,4.0,4.0,4.0,none,6.646142,77.34375
hebbian,4.0,4.0,24.0,none,190.21983,79.6875
hebbian,4.0,4.0,4.0,none,9.974218,76.5625
hebbian,4.0,4.0,24.0,none,271.6149,89.322914
hebbian,4.0,4.0,4.0,none,6.532696,79.6875
hebbian,4.0,4.0,4.0,none,5.444025,82.8125
hebbian,4.0,4.0,4.0,none,8.0536995,82.8125
anti_hebbian,4.0,4.0,24.0,none,276.52356,73.828125
random_walk,4.0,4.0,4.0,none,13.198193,78.125
random_walk,4.0,4.0,4.0,none,6.9197197,83.59375
hebbian,4.0,4.0,24.0,none,388.59753,84.114586
hebbian,4.0,4.0,24.0,none,308.98428,79.427086
random_walk,4.0,4.0,24.0,none,149.18521,79.947914
anti_hebbian,4.0,4.0,24.0,none,225.28014,83.59375
random_walk,4.0,4.0,24.0,none,225.1251,76.953125
anti_hebbian,4.0,4.0,24.0,none,242.18224,77.34375
random_walk,4.0,4.0,4.0,none,9.382232,76.5625
